x,y
0.0001556680,0.3221978865
0.0001576680,0.3285421285
0.0001596680,0.3348931246
0.0001616680,0.3412491437
0.0001636680,0.3476084626
0.0001656680,0.3539693668
0.0001676680,0.3603301502
0.0001696680,0.3666891156
0.0001716680,0.3730445745
0.0001736680,0.3793948475
0.0001756680,0.3857382647
0.0001776680,0.3920731651
0.0001796680,0.3983978975
0.0001816680,0.4047108204
0.0001836680,0.4110103022
0.0001856680,0.4172947210
0.0001876680,0.4235624655
0.0001896680,0.4298119344
0.0001916680,0.4360415369
0.0001936680,0.4422496932
0.0001956680,0.4484348337
0.0001976680,0.4545954002
0.0001996680,0.4607298456
0.0002016680,0.4668366338
0.0002036680,0.4729142402
0.0002056680,0.4789611519
0.0002076680,0.4849758677
0.0002096680,0.4909568982
0.0002116680,0.4969027659
0.0002136680,0.5028120057
0.0002156680,0.5086831647
0.0002176680,0.5145148025
0.0002196680,0.5203054913
0.0002216680,0.5260538161
0.0002236680,0.5317583748
0.0002256680,0.5374177783
0.0002276680,0.5430306507
0.0002296680,0.5485956296
0.0002316680,0.5541113658
0.0002336680,0.5595765240
0.0002356680,0.5649897824
0.0002376680,0.5703498333
0.0002396680,0.5756553829
0.0002416680,0.5809051517
0.0002436680,0.5860978742
0.0002456680,0.5912322998
0.0002476680,0.5963071920
0.0002496680,0.6013213292
0.0002516680,0.6062735046
0.0002536680,0.6111625265
0.0002556680,0.6159872178
0.0002576680,0.6207464172
0.0002596680,0.6254389781
0.0002616680,0.6300637698
0.0002636680,0.6346196769
0.0002656680,0.6391055998
0.0002676680,0.6435204545
0.0002696680,0.6478631730
0.0002716680,0.6521327033
0.0002736680,0.6563280095
0.0002756680,0.6604480719
0.0002776680,0.6644918872
0.0002796680,0.6684584683
0.0002816680,0.6723468448
0.0002836680,0.6761560630
0.0002856680,0.6798851858
0.0002876680,0.6835332928
0.0002896680,0.6870994808
0.0002916680,0.6905828633
0.0002936680,0.6939825711
0.0002956680,0.6972977522
0.0002976680,0.7005275716
0.0002996680,0.7036712120
0.0003016680,0.7067278732
0.0003036680,0.7096967728
0.0003056680,0.7125771457
0.0003076680,0.7153682447
0.0003096680,0.7180693401
0.0003116680,0.7206797203
0.0003136680,0.7231986914
0.0003156680,0.7256255772
0.0003176680,0.7279597200
0.0003196680,0.7302004798
0.0003216680,0.7323472347
0.0003236680,0.7343993812
0.0003256680,0.7363563338
0.0003276680,0.7382175255
0.0003296680,0.7399824075
0.0003316680,0.7416504493
0.0003336680,0.7432211389
0.0003356680,0.7446939829
0.0003376680,0.7460685061
0.0003396680,0.7473442522
0.0003416680,0.7485207831
0.0003436680,0.7495976795
0.0003456680,0.7505745408
0.0003476680,0.7514509849
0.0003496680,0.7522266486
0.0003516680,0.7529011871
0.0003536680,0.7534742746
0.0003556680,0.7539456039
0.0003576680,0.7543148866
0.0003596680,0.7545818532
0.0003616680,0.7547462527
0.0003636680,0.7548078532
0.0003656680,0.7547664413
0.0003676680,0.7546218226
0.0003696680,0.7543738215
0.0003716680,0.7540222810
0.0003736680,0.7535670631
0.0003756680,0.7530080485
0.0003776680,0.7523451365
0.0003796680,0.7515782455
0.0003816680,0.7507073123
0.0003836680,0.7497322927
0.0003856680,0.7486531609
0.0003876680,0.7474699100
0.0003896680,0.7461825516
0.0003916680,0.7447911161
0.0003936680,0.7432956524
0.0003956680,0.7416962277
0.0003976680,0.7399929281
0.0003996680,0.7381858580
0.0004016680,0.7362751402
0.0004036680,0.7342609160
0.0004056680,0.7321433448
0.0004076680,0.7299226046
0.0004096680,0.7275988914
0.0004116680,0.7251724195
0.0004136680,0.7226434213
0.0004156680,0.7200121472
0.0004176680,0.7172788657
0.0004196680,0.7144438632
0.0004216680,0.7115074440
0.0004236680,0.7084699300
