x,y
0.0006516680,-0.8151325731
0.0006536680,-0.8223473995
0.0006556680,-0.8294323677
0.0006576680,-0.8363863590
0.0006596680,-0.8432082751
0.0006616680,-0.8498970389
0.0006636680,-0.8564515940
0.0006656680,-0.8628709056
0.0006676680,-0.8691539598
0.0006696680,-0.8752997645
0.0006716680,-0.8813073492
0.0006736680,-0.8871757653
0.0006756680,-0.8929040861
0.0006776680,-0.8984914070
0.0006796680,-0.9039368456
0.0006816680,-0.9092395422
0.0006836680,-0.9143986592
0.0006856680,-0.9194133822
0.0006876680,-0.9242829191
0.0006896680,-0.9290065010
0.0006916680,-0.9335833820
0.0006936680,-0.9380128394
0.0006956680,-0.9422941736
0.0006976680,-0.9464267087
0.0006996680,-0.9504097921
0.0007016680,-0.9542427947
0.0007036680,-0.9579251114
0.0007056680,-0.9614561605
0.0007076680,-0.9648353846
0.0007096680,-0.9680622500
0.0007116680,-0.9711362471
0.0007136680,-0.9740568906
0.0007156680,-0.9768237191
0.0007176680,-0.9794362960
0.0007196680,-0.9818942084
0.0007216680,-0.9841970684
0.0007236680,-0.9863445122
0.0007256680,-0.9883362008
0.0007276680,-0.9901718197
0.0007296680,-0.9918510790
0.0007316680,-0.9933737135
0.0007336680,-0.9947394827
0.0007356680,-0.9959481711
0.0007376680,-0.9969995877
0.0007396680,-0.9978935665
0.0007416680,-0.9986299663
0.0007436680,-0.9992086709
0.0007456680,-0.9996295889
0.0007476680,-0.9998926538
0.0007496680,-0.9999978240
0.0007516680,-0.9999450830
0.0007536680,-0.9997344390
0.0007556680,-0.9993659254
0.0007576680,-0.9988396003
0.0007596680,-0.9981555469
0.0007616680,-0.9973138732
0.0007636680,-0.9963147120
0.0007656680,-0.9951582212
0.0007676680,-0.9938445834
0.0007696680,-0.9923740059
0.0007716680,-0.9907467212
0.0007736680,-0.9889629860
0.0007756680,-0.9870230821
0.0007776680,-0.9849273158
0.0007796680,-0.9826760181
0.0007816680,-0.9802695445
0.0007836680,-0.9777082749
0.0007856680,-0.9749926139
0.0007876680,-0.9721229902
0.0007896680,-0.9690998570
0.0007916680,-0.9659236917
0.0007936680,-0.9625949959
0.0007956680,-0.9591142952
0.0007976680,-0.9554821392
0.0007996680,-0.9516991015
0.0008016680,-0.9477657795
0.0008036680,-0.9436827942
0.0008056680,-0.9394507906
0.0008076680,-0.9350704367
0.0008096680,-0.9305424244
0.0008116680,-0.9258674687
0.0008136680,-0.9210463077
0.0008156680,-0.9160797029
0.0008176680,-0.9109684384
0.0008196680,-0.9057133215
0.0008216680,-0.9003151820
0.0008236680,-0.8947748722
0.0008256680,-0.8890932671
0.0008276680,-0.8832712639
0.0008296680,-0.8773097819
0.0008316680,-0.8712097625
0.0008336680,-0.8649721690
0.0008356680,-0.8585979864
0.0008376680,-0.8520882212
0.0008396680,-0.8454439014
0.0008416680,-0.8386660762
0.0008436680,-0.8317558159
0.0008456680,-0.8247142117
0.0008476680,-0.8175423756
0.0008496680,-0.8102414400
0.0008516680,-0.8028125580
